Key,English,japanese
RaiderJayneClub,Jayne (Raider),ジェーン(レイダー)
RaiderBettyClub,Betty (Raider),ベティー(レイダー)
RaiderGinaClub,Gina (Raider),ジーナ(レイダー)
RaiderHedyClub,Hedy (Raider),ヘディ―(レイダー)
RaiderGypsyClub,Gypsy (Raider),ジプシー(レイダー)
RaiderJayneKnife,Jayne (Raider),ジェーン(レイダー)
RaiderBettyKnife,Betty (Raider),ベティー(レイダー)
RaiderGinaKnife,Gina (Raider),ジーナ(レイダー)
RaiderHedyKnife,Hedy (Raider),ヘディ―(レイダー)
RaiderGypsyKnife,Gypsy (Raider),ジプシー(レイダー)
RaiderGypsyBat,Gypsy (Raider),ジプシー(レイダー)
RaiderJayneBat,Jayne (Raider),ジェーン(レイダー)
RaiderBettyBat,Betty (Raider),ベティー(レイダー)
RaiderHedyBat,Hedy (Raider),ヘディ―(レイダー)
RaiderGinaBat,Gina (Raider),ジーナ(レイダー)
RaiderHedyAxe,Hedy (Raider),ヘディ―(レイダー)
RaiderBettyAxe,Betty (Raider),ベティー(レイダー)
RaiderJayneAxe,Jayne (Raider),ジェーン(レイダー)
RaiderGypsyAxe,Gypsy (Raider),ジプシー(レイダー)
RaiderGinaAxe,Gina (Raider),ジーナ(レイダー)
RaiderJayneSMG,Jayne (Raider),ジェーン(レイダー)
RaiderBettySMG,Betty (Raider),ベティー(レイダー)
RaiderHedySMG,Hedy (Raider),ヘディ―(レイダー)
RaiderGinaSMG,Gina (Raider),ジーナ(レイダー)
RaiderGypsySMG,Gypsy (Raider),ジプシー(レイダー)
RaiderGinaDPistol,Gina (Raider),ジーナ(レイダー)
RaiderJayneDPistol,Jayne (Raider),ジェーン(レイダー)
RaiderHedyDPistol,Hedy (Raider),ヘディ―(レイダー)
RaiderBettyDPistol,Betty (Raider),ベティー(レイダー)
RaiderGypsyDPistol,Gypsy (Raider),ジプシー(レイダー)
RaiderGinaTRifle,Gina (Raider),ジーナ(レイダー)
RaiderJayneTRifle,Jayne (Raider),ジェーン(レイダー)
RaiderHedyTRifle,Hedy (Raider),ヘディ―(レイダー)
RaiderBettyTRifle,Betty (Raider),ベティー(レイダー)
RaiderGypsyTRifle,Gypsy (Raider),ジプシー(レイダー)
RaiderGinaMachete,Gina (Raider),ジーナ(レイダー)
RaiderBettyMachete,Betty (Raider),ベティー(レイダー)
RaiderJayneMachete,Jayne (Raider),ジェーン(レイダー)
RaiderHedyMachete,Hedy (Raider),ヘディ―(レイダー)
RaiderGypsyMachete,Gypsy (Raider),ジプシー(レイダー)
