Key,English,japanese
RaiderMercClub,"Mercenary (Raider)","傭兵(レイダー)"
RaiderMercKnife,"Mercenary (Raider)","傭兵(レイダー)"
RaiderMercMachete,"Mercenary (Raider)","傭兵(レイダー)"
RaiderMercDPistol,"Mercenary (Raider)","傭兵(レイダー)"
RaiderMercTRifle,"Mercenary (Raider)","傭兵(レイダー)"
RaiderMercAK47,"Mercenary (Raider)","傭兵(レイダー)"
RaiderMotoTRifle,"Moto Racer (Raider)","モトレーサー(レイダー)"
RaiderMotoAK47,"Moto Racer (Raider)","モトレーサー(レイダー)"
RaiderMotoDPistol,"Moto Racer (Raider)","モトレーサー(レイダー)"
RaiderMotoBat,"Moto Racer (Raider)","モトレーサー(レイダー)"
RaiderMotoAxe,"Moto Racer (Raider)","モトレーサー(レイダー)"
RaiderSluggerAK47,"Slugger (Raider)","スラッガー(レイダー)"
RaiderSluggerM60,"Slugger (Raider)","スラッガー(レイダー)"
RaiderSluggerBat,"Slugger (Raider)","スラッガー(レイダー)"
RaiderSluggerAxe,"Slugger (Raider)","スラッガー(レイダー)"
RaiderSluggerRocketL,"Slugger (Raider)","スラッガー(レイダー)"
RaiderPestDPistol,"Pest (Raider)","ペスト(レイダー)"
RaiderPestSMG,"Pest (Raider)","ペスト(レイダー)"
RaiderPestPipeMG,"Pest (Raider)","ペスト(レイダー)"
RaiderPestBat,"Pest (Raider)","ペスト(レイダー)"
RaiderPestAxe,"Pest (Raider)","ペスト(レイダー)"
RaiderPestKnife,"Pest (Raider)","ペスト(レイダー)"
RaiderPestClub,"Pest (Raider)","ペスト(レイダー)"
RaiderPestMachete,"Pest (Raider)","ペスト(レイダー)"
RaiderBeatzSMG,"Beatz (Raider)","ビート(レイダー)"
RaiderBeatzAK47,"Beatz (Raider)","ビート(レイダー)"
RaiderBeatzDPistol,"Beatz (Raider)","ビート(レイダー)"
RaiderBeatzBat,"Beatz (Raider)","ビート(レイダー)"
RaiderBeatzClub,"Beatz (Raider)","ビート(レイダー)"
