Key,english,japanese

npcArmyPowerArmorMaleRocketL,Power Armor Operator,パワーアーマー操作員
npcArmyPowerArmorMaleM60,Power Armor Operator,パワーアーマー操作員
npcArmyPowerArmorMaleAK47,Power Armor Operator,パワーアーマー操作員
npcReconMaleRocketL,Reconnaissance,偵察係
npcReconMaleTRifle,Reconnaissance,偵察係
npcReconMaleAK47,Reconnaissance,偵察係
npcReconMaleM60,Reconnaissance,偵察係
npcReconMaleClub,Reconnaissance,偵察係
npcVaultSecurityMaleClub,Vault Security,ボルト警備
npcVaultBossClub,Vault Director,ボルト責任者
npcVaultResidentMaleClub,Vault Resident,ボルト住人
npcVaultBossKnife,Vault Director,ボルト責任者
npcVaultResidentMaleKnife,Vault Resident,ボルト住人
npcVaultResidentMaleBat,Vault Resident,ボルト住人
npcVaultSecurityMaleBat,Vault Security,ボルト警備
npcVaultSecurityMaleAxe,Vault Security,ボルト警備
npcVaultResidentMaleAxe,Vault Resident,ボルト住人
npcVaultResidentMalePistol,Vault Resident,ボルト住人
npcVaultResidentMalePipeMG,Vault Resident,ボルト住人
npcVaultBossPistol,Vault Director,ボルト責任者
npcVaultSecurityMalePistol,Vault Security,ボルト警備
npcVaultSecurityMaleSMG,Vault Security,ボルト警備
npcVaultSecurityFemalePistol,Vault Security,ボルト警備
npcVaultSecurityFemaleSMG,Vault Security,ボルト警備
npcVaultDoctorPistol,Vault Doctor,ボルト医師
npcVaultResidentFemalePistol,Vault Resident,ボルト住人
npcVaultResidentFemalePipeMG,Vault Resident,ボルト住人
npcReconFemaleRocketL,Reconnaissance,偵察係
npcReconFemaleTRifle,Reconnaissance,偵察係
npcReconFemaleAK47,Reconnaissance,偵察係
npcReconFemaleM60,Reconnaissance,偵察係
npcReconFemaleClub,Reconnaissance,偵察係
npcVaultResidentFemaleClub,Vault Resident,ボルト住人
npcVaultResidentFemaleKnife,Vault Resident,ボルト住人
npcVaultDoctorClub,Vault Doctor,ボルト医師
npcVaultDoctorKnife,Vault Doctor,ボルト医師
npcVaultSecurityFemaleClub,Vault Security,ボルト警備
npcVaultSecurityFemaleAxe,Vault Security,ボルト警備
npcVaultResidentFemaleAxe,Vault Resident,ボルト住人
npcVaultSecurityFemaleBat,Vault Security,ボルト警備
npcVaultDoctorBat,Vault Doctor,ボルト医師
npcArmyPowerArmorFemaleM60,Power Armor Operator,パワーアーマー操作員
npcArmyPowerArmorFemaleRocketL,Power Armor Operator,パワーアーマー操作員
npcArmyPowerArmorFemaleAK47,Power Armor Operator,パワーアーマー操作員
