Key,English,japanese
BloatedParasite,"Bloated Parasite","ブロートパラサイト"
ExperimentZ,"Experiment Z","実験体Z"
SwatZombie,"Swat Zombie","Swatゾンビ"
SwatCaptainZombie,"Swat Captain Zombie","Swatキャプテンゾンビ"
Parasite,"Parasite","パラサイト"

BloatedParasiteFeral,"Feral Bloated Parasite","残忍ブロートパラサイト"
ExperimentZFeral,"Feral Experiment Z","残忍実験体Z"
SwatZombieFeral,"Feral Swat","残忍Swat"
SwatCaptainZombieFeral,"Feral Swat Captain","残忍Swatキャプテン"
ParasiteFeral,"Feral Parasite","残忍パラサイト"

BloatedParasiteRadiated,"Radiated Bloated Parasite","被爆したブロートパラサイト"
ExperimentZRadiated,"Radiated Experiment Z","被爆した実験体Z"
SwatZombieRadiated,"Radiated Swat","残忍Swat"
SwatCaptainZombieRadiated,"Radiated Swat Captain","被爆したSwatキャプテン"
ParasiteRadiated,"Radiated Parasite","被爆したパラサイト"
